Context,Question,Answer
Pandemic,What happens when an outbreak occurs?,move the outbreaks marker forward 1 space on the Outbreaks Track
Pandemic,Is playing an Event card an action?,Playing an Event card is not an action.
Pandemic,When can Eventcards be played?,"at any time, except in between drawing and resolving a card"
Pandemic,When do we win?,as soon as cures to all 4 diseases are discovered
Pandemic,How do we win?,"• if the outbreaks marker reaches the last space of the Outbreaks Track, • if you are unable to place the number of disease cubes actually needed on the board, or • if a player cannot draw 2 Player cards after doing his actions."
Pandemic,When is a disease eradicated?,If the last cube of a cured disease is removed from the board
Pandemic,What does Treat Disease do?,"Remove 1 disease cube from the city you are in, placing it in the cube supply next to the board. If this disease color has been cured (see Discover a Cure below), remove all cubes of that color from the city you are in"
Pandemic,What does Build a Research Station do?,"Discard the City card that matches the city you are in to place a research station there. Take the research station from the pile next to the board. If all 6 research stations have been built, take a research station from anywhere on the board."
Pandemic,What does Shuttle Flight do?,Move from a city with a research station to any other city that has a research station
Pandemic,What does Charter Flight do?,Discard the City card that matches the city you are in to move to any city
Pandemic,What does Direct Flight do?,Discard a City card to move to the city named on the card.
Pandemic,Can I do the same action multiple times?,You may do the same action several times
Pandemic,Where do discarded cards go?,to the Player Discard Pile
Pandemic,What happens if I cannot draw enough cards?,the game ends and your team has lost
Pandemic,What happens if I have more than 7 cards?,discard cards or play Event cards until you have 7 cards in hand
Pandemic,What happens if the outbreaks marker reaches the last space?,the game ends and your team has lost
Pandemic,What does the Quarantine Specialist do?,The Quarantine Specialist prevents both outbreaks and the placement of disease cubes in the city she is in and all cities connected to that city. She does not affect cubes placed during setup.
Pandemic,What does the Scientist do?,The Scientist needs only 4 (not 5) City cards of the same disease color to Discover a Cure for that disease.
Pandemic,What does the Researcher do?,"When doing the Share Knowledge action, the Researcher may give any City card from her hand to another player in the same city as her, without this card having to match her city. The transfer must be from her hand to the other player’s hand, but it can occur on either player’s turn."
Pandemic,How many actions do I get per turn?,up to 4 actions
Twilight_Struggle,What are the spaces on the map?,a country or block of countries
Twilight_Struggle,How are battleground countries different?,special rules for scoring (see 10.1) and coup attempts (6.3)
Twilight_Struggle,What do the brown lines mean?,connections within a region
Twilight_Struggle,What do the black lines mean?,connections between countries in different regions
Twilight_Struggle,What do the red lines mean?,connections between countries and superpowers
Twilight_Struggle,When is a country controlled?,"• The player has Influence points in the country greater than or equal to the country’s Stability Number, and • The player’s Influence in the country exceeds his/her opponent’s Influence in that country by at least the country’s Stability Number."
Twilight_Struggle,What are the parts of a card?,"an Operations Point value, an Event Title and an Event Description"
Twilight_Struggle,What does a red star on a card mean?,associated with the USSR
Twilight_Struggle,What does a white star on a card mean?,associated with the US
Twilight_Struggle,What does a red and white star on a card mean?,not associated with either side
Twilight_Struggle,How can cards be played?,as Events or Operations
Twilight_Struggle,What does an asterisk on a card mean?,"When these cards are played as Events, they are removed permanently from the game."
Twilight_Struggle,How are cards discarded?,Cards that are discarded (not permanently removed from the game) are placed in a face up pile adjacent to the draw pile.
Twilight_Struggle,Where does the Defcon marker start?,on the 5 space of the DEFCON Track
Twilight_Struggle,Where does the VP marker start?,on the Victory Points Track on the zero space
Twilight_Struggle,Who is the Phasing Player?,the player whose Action Round is currently being played
Twilight_Struggle,What happens if the draw deck has no cards?,reshuffle all discards to form a new draw deck
Twilight_Struggle,"On turn 1, how many cards does each player get dealt?",enough cards to bring their total hand size to 8
Twilight_Struggle,"On turn 4, how many cards does each player get dealt?",enough cards to bring their total hand size to 9
Twilight_Struggle,How much does it cost to place Influence in a friendly country?,one (1) Operations point
Twilight_Struggle,How much does it cost to place Influence in an uncontrolled country?,one (1) Operations point
Twilight_Struggle,How much does it cost to place Influence in an enemy controled country?,two (2) Operations points
Twilight_Struggle,What are Realignment rolls used for?,to reduce enemy Influence in a country
Twilight_Struggle,How many times can Countries be targeted for Realignment?,more than once per Action Round
Twilight_Struggle,How many spaces do you move the Military Operations marker when you coup?,equal to the Operations value of the card played
Twilight_Struggle,What does a Coup in a Battleground country do?,degrades the DEFCON status one level (towards Nuclear War)
Twilight_Struggle,What does advancing on the Space Race track do?,"results in an award of Victory Points, a special ability, or both"
Twilight_Struggle,What does an underlined Event card title mean?,the effects of these Events last for the duration of the game
Twilight_Struggle,What happens at DEFCON 4?,No Coup or Realignment rolls are permitted in Europe.
Twilight_Struggle,What happens at DEFCON 3?,No Coup or Realignment rolls are permitted in Europe or Asia.
